latitude,longitude,scan,track,acq_date,acq_time,satellite,instrument,confidence,daynight
36.356412,-76.805911,2026,2734,2025-01-01,1541,L9,OLI-2,M,D
36.355596,-76.806227,2025,2737,2025-01-01,1541,L9,OLI-2,H,D
36.355866,-76.806233,2025,2736,2025-01-01,1541,L9,OLI-2,H,D
36.356137,-76.806239,2025,2735,2025-01-01,1541,L9,OLI-2,H,D
36.356407,-76.806245,2025,2734,2025-01-01,1541,L9,OLI-2,H,D
36.356131,-76.806573,2024,2735,2025-01-01,1541,L9,OLI-2,M,D
36.355005,-76.809556,2015,2739,2025-01-01,1541,L9,OLI-2,H,D
36.355275,-76.809562,2015,2738,2025-01-01,1541,L9,OLI-2,H,D
36.355545,-76.809569,2015,2737,2025-01-01,1541,L9,OLI-2,H,D
36.355,-76.80989,2014,2739,2025-01-01,1541,L9,OLI-2,H,D
36.35527,-76.809897,2014,2738,2025-01-01,1541,L9,OLI-2,H,D
36.35554,-76.809903,2014,2737,2025-01-01,1541,L9,OLI-2,H,D
36.164735,-76.957248,1559,3434,2025-01-01,1541,L9,OLI-2,H,D
36.164729,-76.957581,1558,3434,2025-01-01,1541,L9,OLI-2,M,D
35.742014,-77.23842,680,4979,2025-01-01,1541,L9,OLI-2,M,D
35.742008,-77.238752,679,4979,2025-01-01,1541,L9,OLI-2,H,D
35.742278,-77.238759,679,4978,2025-01-01,1541,L9,OLI-2,H,D
36.355601,-76.805892,2026,2737,2025-01-01,1541,L9,OLI-2,H,D
36.768462,-76.520088,2905,1225,2025-01-01,1541,L9,OLI-2,M,D
36.801629,-76.506284,2948,1103,2025-01-01,1541,L9,OLI-2,H,D
36.801358,-76.506279,2948,1104,2025-01-01,1541,L9,OLI-2,H,D
36.227251,-76.461813,3048,3229,2025-01-01,1541,L9,OLI-2,L,D
36.226981,-76.461808,3048,3230,2025-01-01,1541,L9,OLI-2,H,D
36.227255,-76.461479,3049,3229,2025-01-01,1541,L9,OLI-2,H,D
41.658649,-87.623056,1558,4285,2025-01-01,1628,L8,OLI,H,D
41.658381,-87.622693,1559,4286,2025-01-01,1628,L8,OLI,H,D
41.658651,-87.622696,1559,4285,2025-01-01,1628,L8,OLI,H,D
41.658379,-87.623054,1558,4286,2025-01-01,1628,L8,OLI,H,D
38.886711,-86.984492,5942,4007,2025-01-01,1629,L8,OLI,M,D
39.58894,-87.14295,4178,6679,2025-01-01,1629,L8,OLI,M,D
39.975989,-86.837041,5051,5247,2025-01-01,1629,L8,OLI,H,D
39.162437,-86.929219,6101,2987,2025-01-01,1629,L8,OLI,H,D
38.799665,-87.248804,5177,4328,2025-01-01,1629,L8,OLI,H,D
39.58894,-87.14295,5488,1409,2025-01-01,1629,L8,OLI,M,D
38.886981,-86.984492,5942,4006,2025-01-01,1629,L8,OLI,H,D
34.047675,-89.474623,2273,5987,2025-01-01,1630,L8,OLI,H,D
34.047405,-89.474615,2273,5988,2025-01-01,1630,L8,OLI,H,D
34.047135,-89.474607,2273,5989,2025-01-01,1630,L8,OLI,H,D
34.153722,-89.321225,2754,5606,2025-01-01,1630,L8,OLI,M,D
33.912538,-89.137197,3301,6510,2025-01-01,1630,L8,OLI,H,D
33.912268,-89.13719,3301,6511,2025-01-01,1630,L8,OLI,H,D
33.912544,-89.136873,3302,6510,2025-01-01,1630,L8,OLI,H,D
33.912273,-89.136866,3302,6511,2025-01-01,1630,L8,OLI,H,D
33.912549,-89.136548,3303,6510,2025-01-01,1630,L8,OLI,H,D
33.913935,-89.134636,3309,6505,2025-01-01,1630,L8,OLI,M,D
34.412356,-89.093048,3475,4665,2025-01-01,1630,L8,OLI,H,D
33.972799,-88.995847,3741,6296,2025-01-01,1630,L8,OLI,M,D
33.972524,-88.996165,3740,6297,2025-01-01,1630,L8,OLI,M,D
33.972529,-88.995841,3741,6297,2025-01-01,1630,L8,OLI,M,D
33.620984,-88.394951,5574,7627,2025-01-01,1630,L8,OLI,H,D
33.675544,-88.379005,5626,7426,2025-01-01,1630,L8,OLI,M,D
33.675273,-88.379,5626,7427,2025-01-01,1630,L8,OLI,H,D
33.675548,-88.378681,5627,7426,2025-01-01,1630,L8,OLI,M,D
33.69602,-88.337578,5755,7352,2025-01-01,1630,L8,OLI,L,D
33.831888,-89.590569,1896,6776,2025-01-01,1630,L8,OLI,L,D
34.047669,-89.474947,2272,5987,2025-01-01,1630,L8,OLI,H,D
34.047398,-89.47494,2272,5988,2025-01-01,1630,L8,OLI,H,D
34.047128,-89.474932,2272,5989,2025-01-01,1630,L8,OLI,H,D
33.307811,-89.339784,3976,3462,2025-01-01,1631,L8,OLI,H,D
33.30754,-89.339777,3976,3463,2025-01-01,1631,L8,OLI,M,D
32.330853,-89.209782,4304,7082,2025-01-01,1631,L8,OLI,M,D
32.403205,-89.203252,4330,6815,2025-01-01,1631,L8,OLI,M,D
32.660807,-89.200918,4357,5863,2025-01-01,1631,L8,OLI,H,D
32.660536,-89.200911,4357,5864,2025-01-01,1631,L8,OLI,H,D
32.661083,-89.200604,4358,5862,2025-01-01,1631,L8,OLI,H,D
32.660812,-89.200598,4358,5863,2025-01-01,1631,L8,OLI,H,D
32.660542,-89.200591,4358,5864,2025-01-01,1631,L8,OLI,H,D
32.660271,-89.200585,4358,5865,2025-01-01,1631,L8,OLI,M,D
32.661359,-89.200291,4359,5861,2025-01-01,1631,L8,OLI,M,D
32.661088,-89.200285,4359,5862,2025-01-01,1631,L8,OLI,H,D
32.660818,-89.200278,4359,5863,2025-01-01,1631,L8,OLI,H,D
32.660547,-89.200272,4359,5864,2025-01-01,1631,L8,OLI,H,D
32.660277,-89.200265,4359,5865,2025-01-01,1631,L8,OLI,H,D
32.661364,-89.199972,4360,5861,2025-01-01,1631,L8,OLI,M,D
32.661094,-89.199965,4360,5862,2025-01-01,1631,L8,OLI,H,D
32.660823,-89.199958,4360,5863,2025-01-01,1631,L8,OLI,H,D
32.660553,-89.199952,4360,5864,2025-01-01,1631,L8,OLI,H,D
32.660282,-89.199945,4360,5865,2025-01-01,1631,L8,OLI,H,D
32.661099,-89.199645,4361,5862,2025-01-01,1631,L8,OLI,H,D
32.660829,-89.199639,4361,5863,2025-01-01,1631,L8,OLI,H,D
32.660559,-89.199632,4361,5864,2025-01-01,1631,L8,OLI,H,D
32.660288,-89.199626,4361,5865,2025-01-01,1631,L8,OLI,M,D
32.660564,-89.199312,4362,5864,2025-01-01,1631,L8,OLI,M,D
32.619538,-89.146839,4523,6019,2025-01-01,1631,L8,OLI,L,D
32.810495,-89.133801,4578,5314,2025-01-01,1631,L8,OLI,H,D
32.810224,-89.133794,4578,5315,2025-01-01,1631,L8,OLI,H,D
32.8105,-89.13348,4579,5314,2025-01-01,1631,L8,OLI,H,D
32.81023,-89.133474,4579,5315,2025-01-01,1631,L8,OLI,H,D
33.912538,-89.137197,4651,1240,2025-01-01,1631,L8,OLI,H,D
33.912268,-89.13719,4651,1241,2025-01-01,1631,L8,OLI,H,D
33.912544,-89.136873,4652,1240,2025-01-01,1631,L8,OLI,H,D
33.912273,-89.136866,4652,1241,2025-01-01,1631,L8,OLI,H,D
33.912549,-89.136548,4653,1240,2025-01-01,1631,L8,OLI,H,D
33.913935,-89.134636,4659,1235,2025-01-01,1631,L8,OLI,M,D
33.55452,-89.081809,4795,2567,2025-01-01,1631,L8,OLI,M,D
33.679075,-89.074777,4826,2107,2025-01-01,1631,L8,OLI,H,D
32.356823,-89.01629,4913,6998,2025-01-01,1631,L8,OLI,M,D
32.813703,-89.022063,4927,5309,2025-01-01,1631,L8,OLI,L,D
32.794532,-89.019707,4933,5380,2025-01-01,1631,L8,OLI,M,D
32.794261,-89.019701,4933,5381,2025-01-01,1631,L8,OLI,M,D
33.972524,-88.996165,5090,1027,2025-01-01,1631,L8,OLI,M,D
33.972799,-88.995847,5091,1026,2025-01-01,1631,L8,OLI,M,D
33.972529,-88.995841,5091,1027,2025-01-01,1631,L8,OLI,M,D
33.266942,-88.914259,5294,3640,2025-01-01,1631,L8,OLI,H,D
33.267218,-88.913943,5295,3639,2025-01-01,1631,L8,OLI,H,D
33.266947,-88.913937,5295,3640,2025-01-01,1631,L8,OLI,H,D
33.266677,-88.913931,5295,3641,2025-01-01,1631,L8,OLI,H,D
33.266952,-88.913615,5296,3640,2025-01-01,1631,L8,OLI,H,D
33.419739,-88.846632,5514,3079,2025-01-01,1631,L8,OLI,M,D
33.411445,-88.803552,5647,3112,2025-01-01,1631,L8,OLI,H,D
33.428251,-88.744532,5831,3053,2025-01-01,1631,L8,OLI,H,D
33.438471,-88.72957,5878,3016,2025-01-01,1631,L8,OLI,L,D
33.438475,-88.729248,5879,3016,2025-01-01,1631,L8,OLI,L,D
32.519691,-88.706315,5895,6413,2025-01-01,1631,L8,OLI,M,D
32.520236,-88.706006,5896,6411,2025-01-01,1631,L8,OLI,M,D
32.519966,-88.706001,5896,6412,2025-01-01,1631,L8,OLI,H,D
32.519695,-88.705996,5896,6413,2025-01-01,1631,L8,OLI,H,D
32.51997,-88.705682,5897,6412,2025-01-01,1631,L8,OLI,M,D
32.40804,-88.595441,6236,6831,2025-01-01,1631,L8,OLI,M,D
33.440588,-88.570518,6371,3016,2025-01-01,1631,L8,OLI,H,D
33.440317,-88.570514,6371,3017,2025-01-01,1631,L8,OLI,H,D
33.440047,-88.570509,6371,3018,2025-01-01,1631,L8,OLI,H,D
33.440592,-88.570196,6372,3016,2025-01-01,1631,L8,OLI,H,D
33.440321,-88.570191,6372,3017,2025-01-01,1631,L8,OLI,H,D
33.440051,-88.570186,6372,3018,2025-01-01,1631,L8,OLI,H,D
33.448715,-88.569697,6374,2986,2025-01-01,1631,L8,OLI,M,D
33.448444,-88.569692,6374,2987,2025-01-01,1631,L8,OLI,H,D
33.448719,-88.569374,6375,2986,2025-01-01,1631,L8,OLI,H,D
33.448448,-88.569369,6375,2987,2025-01-01,1631,L8,OLI,H,D
33.441415,-88.569242,6375,3013,2025-01-01,1631,L8,OLI,M,D
33.620984,-88.394951,6924,2357,2025-01-01,1631,L8,OLI,H,D
33.675544,-88.379005,6976,2156,2025-01-01,1631,L8,OLI,M,D
33.675273,-88.379,6976,2157,2025-01-01,1631,L8,OLI,H,D
33.675548,-88.378681,6977,2156,2025-01-01,1631,L8,OLI,M,D
33.69602,-88.337578,7105,2082,2025-01-01,1631,L8,OLI,L,D
31.480895,-89.322477,5233,4946,2025-01-01,1631,L8,OLI,M,D
31.849851,-89.327877,5245,3582,2025-01-01,1631,L8,OLI,H,D
31.164258,-89.310623,5246,6117,2025-01-01,1631,L8,OLI,M,D
31.635822,-89.313671,5273,4374,2025-01-01,1631,L8,OLI,H,D
31.347641,-89.299648,5295,5440,2025-01-01,1631,L8,OLI,M,D
31.34737,-89.299641,5295,5441,2025-01-01,1631,L8,OLI,H,D
31.487938,-89.246239,5475,4925,2025-01-01,1631,L8,OLI,H,D
31.487132,-89.245904,5476,4928,2025-01-01,1631,L8,OLI,H,D
31.486862,-89.245898,5476,4929,2025-01-01,1631,L8,OLI,M,D
31.487138,-89.245589,5477,4928,2025-01-01,1631,L8,OLI,H,D
31.486867,-89.245582,5477,4929,2025-01-01,1631,L8,OLI,H,D
31.374241,-89.233752,5506,5346,2025-01-01,1631,L8,OLI,L,D
32.330853,-89.209782,5654,1812,2025-01-01,1631,L8,OLI,M,D
32.403205,-89.203252,5680,1545,2025-01-01,1631,L8,OLI,M,D
31.415492,-89.131239,5834,5200,2025-01-01,1631,L8,OLI,H,D
31.415768,-89.13093,5835,5199,2025-01-01,1631,L8,OLI,H,D
31.415498,-89.130924,5835,5200,2025-01-01,1631,L8,OLI,H,D
31.415503,-89.130608,5836,5200,2025-01-01,1631,L8,OLI,H,D
31.582511,-89.027562,6174,4589,2025-01-01,1631,L8,OLI,M,D
30.850309,-88.988465,6249,7297,2025-01-01,1631,L8,OLI,M,D
